date_capteur,date_satellite,days_diff,station_id,latitude,longitude,pH,oxygene_dissous,COD,CODMn,NH4N,TPH,DIP,DIN,quality_score,NDWI,chlorophyll_index,turbidity_index,is_interpolated
2018-12-17,2018-12-29,12,1,43.838487,80.6666489,8.1,7.7,0.86,0.8,0.26,0.014,0.008,0.145,10.0,-0.0861855670103092,1.0866425992779782,481600.0,False
2018-12-24,2018-12-29,5,1,43.838487,80.6666489,8.2,8.04,0.86,0.9,0.28,0.014,0.008,0.145,10.0,-0.0861855670103092,1.0866425992779782,481600.0,False
2018-10-29,2018-10-27,2,2,30.2703196,114.5999666,7.7,8.58,0.86,4.5,0.15,0.014,0.008,0.145,10.0,0.5023126734505088,0.7266009852216748,59000.0,False
2018-11-05,2018-10-27,9,2,30.2703196,114.5999666,7.6,8.66,0.86,3.4,0.22,0.014,0.008,0.145,10.0,0.5023126734505088,0.7266009852216748,59000.0,False
2018-11-12,2018-10-27,16,2,30.2703196,114.5999666,7.6,8.84,0.86,2.8,0.26,0.014,0.008,0.145,10.0,0.5023126734505088,0.7266009852216748,59000.0,False
2018-11-19,2018-11-19,0,2,30.2703196,114.5999666,7.64,9.252,0.86,2.6999999999999997,0.25,0.014,0.008,0.145,10.0,0.47387938921744543,0.745796917209598,71680.0,True
2018-11-26,2018-11-26,0,2,30.2703196,114.5999666,7.68,9.664,0.86,2.5999999999999996,0.24,0.014,0.008,0.145,10.0,0.4454461049843821,0.7649928491975211,84360.0,True
2018-12-03,2018-12-03,0,2,30.2703196,114.5999666,7.72,10.076,0.86,2.5,0.22999999999999998,0.014,0.008,0.145,10.0,0.4170128207513187,0.7841887811854441,97040.0,True
2018-12-10,2018-12-10,0,2,30.2703196,114.5999666,7.76,10.488,0.86,2.4,0.22,0.014,0.008,0.145,10.0,0.38857953651825533,0.8033847131733672,109720.0,True
2018-12-17,2018-12-16,1,2,30.2703196,114.5999666,7.8,10.9,0.86,2.3,0.21,0.014,0.008,0.145,10.0,0.360146252285192,0.8225806451612904,122400.0,False
2018-12-24,2018-12-16,8,2,30.2703196,114.5999666,7.9,11.7,0.86,2.3,0.25,0.014,0.008,0.145,10.0,0.360146252285192,0.8225806451612904,122400.0,False
2018-10-29,2018-10-27,2,4,33.2640607,115.3390767,8.0,5.3,0.86,5.1,0.3,0.014,0.008,0.145,7.0,0.0706638115631691,0.844,42200.0,False
2018-11-05,2018-11-01,4,4,33.2640607,115.3390767,8.1,5.47,0.86,5.6,0.14,0.014,0.008,0.145,7.0,0.0988142292490118,0.8561151079136691,59500.0,False
2018-11-12,2018-11-01,11,4,33.2640607,115.3390767,8.1,5.32,0.86,5.5,0.37,0.014,0.008,0.145,7.0,0.0988142292490118,0.8561151079136691,59500.0,False
2018-11-19,2018-11-19,0,4,33.2640607,115.3390767,8.14,5.622,0.86,5.2,0.384,0.014,0.008,0.145,7.6,0.1180359708878767,0.8478662896693268,58340.0,True
2018-11-26,2018-11-26,0,4,33.2640607,115.3390767,8.18,5.924,0.86,4.9,0.398,0.014,0.008,0.145,8.2,0.1372577125267416,0.8396174714249844,57180.0,True
2018-12-03,2018-12-03,0,4,33.2640607,115.3390767,8.22,6.226,0.86,4.6,0.412,0.014,0.008,0.145,8.8,0.1564794541656065,0.8313686531806421,56020.0,True
2018-12-10,2018-12-10,0,4,33.2640607,115.3390767,8.26,6.5280000000000005,0.86,4.3,0.426,0.014,0.008,0.145,9.4,0.1757011958044714,0.8231198349362998,54860.0,True
2018-12-17,2018-12-16,1,4,33.2640607,115.3390767,8.3,6.83,0.86,4.0,0.44,0.014,0.008,0.145,10.0,0.1949229374433363,0.8148710166919575,53700.0,False
2018-12-24,2018-12-31,7,4,33.2640607,115.3390767,8.4,8.04,0.86,5.6,0.82,0.014,0.008,0.145,10.0,0.1771019677996422,0.8100303951367781,53300.0,False
2018-01-29,2018-02-12,14,5,28.6460477,112.4147437,8.4,12.8,0.86,0.6,0.45,0.014,0.008,0.145,10.0,0.2758293838862559,0.7340267459138187,98800.0,False
2018-02-05,2018-02-05,0,5,28.6460477,112.4147437,8.433333333333334,12.6,0.86,0.7666666666666667,0.39666666666666667,0.014,0.008,0.145,10.0,0.2758293838862559,0.7340267459138187,98800.0,True
2018-02-12,2018-02-12,0,5,28.6460477,112.4147437,8.466666666666667,12.4,0.86,0.9333333333333333,0.3433333333333333,0.014,0.008,0.145,10.0,0.2758293838862559,0.7340267459138187,98800.0,True
2018-02-19,2018-02-12,7,5,28.6460477,112.4147437,8.5,12.2,0.86,1.1,0.29,0.014,0.008,0.145,10.0,0.2758293838862559,0.7340267459138187,98800.0,False
2018-02-26,2018-03-09,11,5,28.6460477,112.4147437,8.5,11.2,0.86,1.6,0.46,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,False
2018-03-05,2018-03-05,0,5,28.6460477,112.4147437,8.5,11.1,0.86,1.9000000000000001,0.385,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,True
2018-03-12,2018-03-09,3,5,28.6460477,112.4147437,8.5,11.0,0.86,2.2,0.31,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,False
2018-03-19,2018-03-09,10,5,28.6460477,112.4147437,8.4,10.7,0.86,2.6,0.42,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,False
2018-03-26,2018-03-09,17,5,28.6460477,112.4147437,8.2,10.0,0.86,1.7,0.37,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,False
2018-04-02,2018-03-09,24,5,28.6460477,112.4147437,7.9,8.71,0.86,1.5,0.32,0.014,0.008,0.145,10.0,0.3370535714285714,0.7345575959933222,88000.0,False
2018-04-09,2018-04-09,0,5,28.6460477,112.4147437,7.903333333333333,8.706000000000001,0.86,1.5466666666666666,0.32233333333333336,0.014,0.008,0.145,10.0,0.34272272936669573,0.729291562012764,87200.0,True
2018-04-16,2018-04-16,0,5,28.6460477,112.4147437,7.906666666666667,8.702,0.86,1.5933333333333333,0.32466666666666666,0.014,0.008,0.145,10.0,0.34839188730482007,0.7240255280322058,86400.0,True
2018-04-23,2018-04-23,0,5,28.6460477,112.4147437,7.91,8.698,0.86,1.6400000000000001,0.327,0.014,0.008,0.145,10.0,0.3540610452429444,0.7187594940516476,85600.0,True
2018-04-30,2018-04-30,0,5,28.6460477,112.4147437,7.913333333333334,8.694,0.86,1.6866666666666668,0.32933333333333337,0.014,0.008,0.145,10.0,0.35973020318106874,0.7134934600710894,84800.0,True
2018-05-07,2018-05-07,0,5,28.6460477,112.4147437,7.916666666666667,8.690000000000001,0.86,1.7333333333333334,0.33166666666666667,0.014,0.008,0.145,10.0,0.3653993611191931,0.7082274260905312,84000.0,True
2018-05-14,2018-05-14,0,5,28.6460477,112.4147437,7.92,8.686,0.86,1.78,0.334,0.014,0.008,0.145,10.0,0.3710685190573174,0.702961392109973,83200.0,True
2018-05-21,2018-05-21,0,5,28.6460477,112.4147437,7.923333333333334,8.682,0.86,1.8266666666666667,0.3363333333333333,0.014,0.008,0.145,10.0,0.3767376769954417,0.6976953581294149,82400.0,True
2018-05-28,2018-05-28,0,5,28.6460477,112.4147437,7.926666666666667,8.678,0.86,1.8733333333333333,0.33866666666666667,0.014,0.008,0.145,10.0,0.3824068349335661,0.6924293241488567,81600.0,True
2018-06-04,2018-06-04,0,5,28.6460477,112.4147437,7.930000000000001,8.674000000000001,0.86,1.92,0.341,0.014,0.008,0.145,10.0,0.38807599287169037,0.6871632901682985,80800.0,True
2018-06-11,2018-06-11,0,5,28.6460477,112.4147437,7.933333333333334,8.67,0.86,1.9666666666666668,0.3433333333333333,0.014,0.008,0.145,10.0,0.3937451508098147,0.6818972561877403,80000.0,True
2018-06-18,2018-06-18,0,5,28.6460477,112.4147437,7.9366666666666665,8.666,0.86,2.013333333333333,0.3456666666666667,0.014,0.008,0.145,10.0,0.39941430874793904,0.6766312222071821,79200.0,True
2018-06-25,2018-06-25,0,5,28.6460477,112.4147437,7.94,8.662,0.86,2.06,0.34800000000000003,0.014,0.008,0.145,10.0,0.4050834666860634,0.6713651882266239,78400.0,True
2018-07-02,2018-07-02,0,5,28.6460477,112.4147437,7.943333333333333,8.658000000000001,0.86,2.1066666666666665,0.35033333333333333,0.014,0.008,0.145,10.0,0.4107526246241877,0.6660991542460657,77600.0,True
2018-07-09,2018-07-09,0,5,28.6460477,112.4147437,7.946666666666667,8.654,0.86,2.1533333333333333,0.3526666666666667,0.014,0.008,0.145,10.0,0.41642178256231205,0.6608331202655076,76800.0,True
2018-07-16,2018-07-16,0,5,28.6460477,112.4147437,7.95,8.65,0.86,2.2,0.355,0.014,0.008,0.145,10.0,0.4220909405004364,0.6555670862849494,76000.0,True
2018-07-23,2018-07-23,0,5,28.6460477,112.4147437,7.953333333333333,8.646,0.86,2.2466666666666666,0.35733333333333334,0.014,0.008,0.145,10.0,0.4277600984385607,0.6503010523043912,75200.0,True
2018-07-30,2018-07-30,0,5,28.6460477,112.4147437,7.956666666666667,8.642,0.86,2.2933333333333334,0.3596666666666667,0.014,0.008,0.145,10.0,0.43342925637668506,0.645035018323833,74400.0,True
2018-08-06,2018-08-06,0,5,28.6460477,112.4147437,7.96,8.638,0.86,2.34,0.362,0.014,0.008,0.145,10.0,0.4390984143148094,0.6397689843432748,73600.0,True
2018-08-13,2018-08-13,0,5,28.6460477,112.4147437,7.963333333333334,8.634,0.86,2.3866666666666667,0.36433333333333334,0.014,0.008,0.145,10.0,0.44476757225293373,0.6345029503627166,72800.0,True
2018-08-20,2018-08-20,0,5,28.6460477,112.4147437,7.966666666666667,8.63,0.86,2.4333333333333336,0.3666666666666667,0.014,0.008,0.145,10.0,0.45043673019105807,0.6292369163821584,72000.0,True
2018-08-27,2018-08-27,0,5,28.6460477,112.4147437,7.97,8.626,0.86,2.48,0.369,0.014,0.008,0.145,10.0,0.4561058881291824,0.6239708824016003,71200.0,True
2018-09-03,2018-09-03,0,5,28.6460477,112.4147437,7.973333333333334,8.622,0.86,2.5266666666666664,0.37133333333333335,0.014,0.008,0.145,10.0,0.4617750460673067,0.618704848421042,70400.0,True
2018-09-10,2018-09-10,0,5,28.6460477,112.4147437,7.976666666666667,8.618,0.86,2.5733333333333333,0.3736666666666667,0.014,0.008,0.145,10.0,0.4674442040054311,0.6134388144404839,69600.0,True
2018-09-17,2018-09-17,0,5,28.6460477,112.4147437,7.98,8.614,0.86,2.62,0.376,0.014,0.008,0.145,10.0,0.47311336194355536,0.6081727804599257,68800.0,True
2018-09-24,2018-09-24,0,5,28.6460477,112.4147437,7.983333333333333,8.61,0.86,2.666666666666667,0.37833333333333335,0.014,0.008,0.145,10.0,0.47878251988167975,0.6029067464793675,68000.0,True
2018-10-01,2018-10-01,0,5,28.6460477,112.4147437,7.986666666666666,8.606,0.86,2.7133333333333334,0.38066666666666665,0.014,0.008,0.145,10.0,0.484451677819804,0.5976407124988093,67200.0,True
2018-10-08,2018-10-08,0,5,28.6460477,112.4147437,7.99,8.602,0.86,2.76,0.383,0.014,0.008,0.145,10.0,0.49012083575792836,0.5923746785182511,66400.0,True
2018-10-15,2018-10-15,0,5,28.6460477,112.4147437,7.993333333333333,8.598,0.86,2.8066666666666666,0.38533333333333336,0.014,0.008,0.145,10.0,0.4957899936960527,0.587108644537693,65600.0,True
2018-10-22,2018-10-22,0,5,28.6460477,112.4147437,7.996666666666667,8.594,0.86,2.8533333333333335,0.38766666666666666,0.014,0.008,0.145,10.0,0.5014591516341771,0.5818426105571348,64800.0,True
2018-10-29,2018-11-24,26,5,28.6460477,112.4147437,8.0,8.59,0.86,2.9,0.39,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,False
2018-11-05,2018-11-24,19,5,28.6460477,112.4147437,8.1,9.02,0.86,2.2,0.31,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,False
2018-11-12,2018-11-24,12,5,28.6460477,112.4147437,8.0,9.39,0.86,1.9,0.26,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,False
2018-11-19,2018-11-19,0,5,28.6460477,112.4147437,8.0,9.712,0.86,1.8599999999999999,0.28800000000000003,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,True
2018-11-26,2018-11-26,0,5,28.6460477,112.4147437,8.0,10.034,0.86,1.8199999999999998,0.316,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,True
2018-12-03,2018-12-03,0,5,28.6460477,112.4147437,8.0,10.356,0.86,1.78,0.34400000000000003,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,True
2018-12-10,2018-12-10,0,5,28.6460477,112.4147437,8.0,10.678,0.86,1.74,0.372,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,True
2018-12-17,2018-11-24,23,5,28.6460477,112.4147437,8.0,11.0,0.86,1.7,0.4,0.014,0.008,0.145,10.0,0.5071283095723014,0.5765765765765766,64000.0,False
